,data,close,volume
0,02/05/2018,12.71,11412800
1,03/05/2018,12.05,23920800
2,04/05/2018,12.11,15284000
3,07/05/2018,12.0,9711200
4,08/05/2018,13.76,40232800
5,09/05/2018,13.96,20416800
6,10/05/2018,13.57,15272800
7,11/05/2018,13.47,11504000
8,14/05/2018,13.41,11840800
9,15/05/2018,13.2,13277600
10,16/05/2018,13.91,16859200
11,17/05/2018,13.55,13338400
12,18/05/2018,13.03,26184000
13,21/05/2018,13.58,12142400
14,22/05/2018,14.13,15096000
15,23/05/2018,13.87,11255200
16,24/05/2018,14.01,12412800
17,25/05/2018,13.88,13388000
18,28/05/2018,13.02,19270400
19,29/05/2018,12.95,20374400
20,30/05/2018,13.44,90257600
21,01/06/2018,14.31,22248000
22,04/06/2018,15.41,27456000
23,05/06/2018,15.0,17707200
24,06/06/2018,14.17,18704000
25,07/06/2018,13.19,41078400
26,08/06/2018,13.08,28228800
27,11/06/2018,13.17,14646400
28,12/06/2018,13.63,19887200
29,13/06/2018,13.93,17304000
30,14/06/2018,14.8,27508800
31,15/06/2018,14.85,18602400
32,18/06/2018,14.6,9577600
33,19/06/2018,15.33,18573600
34,20/06/2018,15.08,18780800
35,21/06/2018,15.07,12972000
36,22/06/2018,15.22,8402400
37,25/06/2018,15.22,18207200
38,26/06/2018,15.34,12660000
39,27/06/2018,15.06,8017600
40,28/06/2018,15.31,10052000
41,29/06/2018,15.86,13955200
42,02/07/2018,15.55,8031200
43,03/07/2018,15.44,16740800
44,04/07/2018,15.41,4457600
45,05/07/2018,14.87,11042400
46,06/07/2018,15.09,13672800
47,10/07/2018,14.63,15685600
48,11/07/2018,14.19,10308000
49,12/07/2018,15.29,16994400
50,13/07/2018,15.57,13586400
51,16/07/2018,15.83,9374400
52,17/07/2018,16.36,12797600
53,18/07/2018,15.74,15473600
54,19/07/2018,15.99,13206400
55,20/07/2018,16.23,10146400
56,23/07/2018,16.09,4896000
57,24/07/2018,16.58,8722400
58,25/07/2018,16.49,8520000
59,26/07/2018,16.31,8268800
60,27/07/2018,16.09,9029600
61,30/07/2018,16.11,6480800
62,31/07/2018,16.39,5794400
63,01/08/2018,16.64,7636800
64,02/08/2018,16.96,7988000
65,03/08/2018,16.98,10752000
66,06/08/2018,17.11,10468800
67,07/08/2018,18.08,28713600
68,08/08/2018,17.36,14649600
69,09/08/2018,18.22,12846400
70,10/08/2018,17.23,15485600
71,13/08/2018,17.48,8388000
72,14/08/2018,17.58,5580000
73,15/08/2018,17.19,9864000
74,16/08/2018,16.89,11280000
75,17/08/2018,16.57,11162400
76,20/08/2018,17.15,7575200
77,21/08/2018,16.42,19540800
78,22/08/2018,16.64,8756000
79,23/08/2018,16.46,12881600
80,24/08/2018,16.36,7976800
81,27/08/2018,16.29,8990400
82,28/08/2018,16.03,15898400
83,29/08/2018,16.38,11543200
84,30/08/2018,15.82,9766400
85,31/08/2018,16.14,10414400
86,03/09/2018,15.68,6607200
87,04/09/2018,14.63,16774400
88,05/09/2018,15.1,13344000
89,06/09/2018,15.52,9080000
90,10/09/2018,15.11,15501600
91,11/09/2018,14.76,7964000
92,12/09/2018,14.8,9307200
93,13/09/2018,14.31,12500000
94,14/09/2018,14.38,10198400
95,17/09/2018,14.74,7171200
96,18/09/2018,15.42,12291200
97,19/09/2018,14.75,12988000
98,20/09/2018,14.69,9408800
99,21/09/2018,15.37,15050400
100,24/09/2018,15.05,8989600
101,25/09/2018,15.26,7876800
102,26/09/2018,15.14,9953600
103,27/09/2018,15.39,8992000
104,28/09/2018,15.18,8628000
105,01/10/2018,15.2,5328000
106,02/10/2018,16.16,13812800
107,03/10/2018,17.27,24038400
108,04/10/2018,17.29,15325600
109,05/10/2018,17.6,16601600
110,08/10/2018,18.41,13604800
111,09/10/2018,18.62,11968800
112,10/10/2018,17.81,13148000
113,11/10/2018,18.68,16512000
114,15/10/2018,18.59,10504800
115,16/10/2018,19.73,16933600
116,17/10/2018,20.05,14594400
117,18/10/2018,19.94,10462400
118,19/10/2018,20.95,15357600
119,22/10/2018,20.71,11444000
120,23/10/2018,20.96,11226400
121,24/10/2018,20.82,8834400
122,25/10/2018,20.85,12103200
123,26/10/2018,20.68,12222400
124,29/10/2018,20.63,10116800
125,30/10/2018,20.98,13444000
126,31/10/2018,20.92,8749600
127,01/11/2018,21.06,8716000
128,05/11/2018,21.44,10884800
129,06/11/2018,19.65,27033600
130,07/11/2018,18.7,38664000
131,08/11/2018,18.29,14698400
132,09/11/2018,18.15,17099200
133,12/11/2018,19.03,13290400
134,13/11/2018,19.02,13641600
135,14/11/2018,19.27,11627200
136,16/11/2018,19.4,10806400
137,19/11/2018,19.36,5355200
138,21/11/2018,19.24,7469600
139,22/11/2018,19.83,9015200
140,23/11/2018,20.12,9522400
141,26/11/2018,19.61,10952000
142,27/11/2018,20.92,11514400
143,28/11/2018,21.08,15602400
144,29/11/2018,21.23,13967200
145,30/11/2018,20.41,14056800
146,03/12/2018,20.1,8754400
147,04/12/2018,20.43,13332800
148,05/12/2018,20.44,3793600
149,06/12/2018,20.49,5664800
150,07/12/2018,20.37,6389600
151,10/12/2018,19.9,5503200
152,11/12/2018,20.38,5144000
153,12/12/2018,20.82,6977600
154,13/12/2018,20.76,4767200
155,14/12/2018,21.15,8799200
156,17/12/2018,21.08,6956000
157,18/12/2018,21.8,7892800
158,19/12/2018,21.94,8070400
159,20/12/2018,22.06,8156800
160,21/12/2018,22.65,9687200
161,26/12/2018,21.91,6412000
162,27/12/2018,21.57,5149600
163,28/12/2018,22.44,6636000
164,02/01/2019,23.12,6754400
165,03/01/2019,22.87,6585600
166,04/01/2019,22.18,6930400
167,07/01/2019,22.52,5293600
168,08/01/2019,22.34,4849600
169,09/01/2019,22.26,6199200
170,10/01/2019,22.48,6108000
171,11/01/2019,22.08,9370400
172,14/01/2019,22.25,8532000
173,15/01/2019,22.0,8225600
174,16/01/2019,21.75,8863200
175,17/01/2019,21.69,7181600
176,18/01/2019,21.65,5624000
177,21/01/2019,20.76,10003200
178,22/01/2019,20.14,16261600
179,23/01/2019,21.08,9562400
180,24/01/2019,20.82,9061600
181,28/01/2019,20.81,6263200
182,29/01/2019,22.14,12793600
183,30/01/2019,21.9,10992800
184,31/01/2019,22.26,7646400
185,01/02/2019,22.23,5166400
186,04/02/2019,22.01,4340800
187,05/02/2019,21.81,3613600
188,06/02/2019,21.09,6461600
189,07/02/2019,20.73,9416000
190,08/02/2019,21.13,5506400
191,11/02/2019,20.55,5274400
192,12/02/2019,20.48,8099200
193,13/02/2019,20.05,9616000
194,14/02/2019,21.22,8319200
195,15/02/2019,20.38,7860000
196,18/02/2019,20.95,3745600
197,19/02/2019,21.09,7568000
198,20/02/2019,20.2,12089600
199,21/02/2019,20.03,10159200
200,22/02/2019,22.11,30509600
201,25/02/2019,21.59,10340000
202,26/02/2019,22.19,8444800
203,27/02/2019,21.88,6376000
204,28/02/2019,21.56,8011200
205,01/03/2019,21.78,7103200
206,06/03/2019,21.33,3880800
207,07/03/2019,22.02,9920800
208,08/03/2019,22.48,13552000
209,11/03/2019,22.69,9706400
210,12/03/2019,22.23,5614400
211,13/03/2019,22.04,5698400
212,14/03/2019,21.94,3347200
213,15/03/2019,22.03,6331200
214,18/03/2019,22.43,10771200
215,19/03/2019,22.46,5387200
216,20/03/2019,22.58,5757600
217,21/03/2019,22.65,7817600
218,22/03/2019,21.54,10982400
219,25/03/2019,21.52,8220000
220,26/03/2019,21.95,6088000
221,27/03/2019,20.88,12635200
222,28/03/2019,21.23,11179200
223,29/03/2019,21.49,5718400
224,01/04/2019,21.29,4003200
225,02/04/2019,20.65,8864000
226,03/04/2019,21.02,10100000
227,04/04/2019,21.01,5660000
228,05/04/2019,21.13,5885600
229,08/04/2019,20.73,19244800
230,09/04/2019,20.67,8444000
231,10/04/2019,20.97,5064000
232,11/04/2019,20.63,5146400
233,12/04/2019,20.49,6610400
234,15/04/2019,20.32,10367200
235,16/04/2019,20.27,5866400
236,17/04/2019,19.91,9738400
237,18/04/2019,21.28,10932000
238,22/04/2019,20.83,3457600
239,23/04/2019,21.3,4150400
240,24/04/2019,21.49,6446400
241,25/04/2019,21.8,6127200
242,26/04/2019,22.3,9200800
243,29/04/2019,22.24,4088000
244,30/04/2019,23.83,17032000
245,02/05/2019,23.76,10768000
246,03/05/2019,24.45,9572000
247,06/05/2019,24.94,12184000
248,07/05/2019,23.94,13639200
249,08/05/2019,24.11,7251200
250,09/05/2019,23.16,8584800
251,10/05/2019,23.24,7019200
252,13/05/2019,22.43,7417600
253,14/05/2019,22.21,8059200
254,15/05/2019,21.55,11854400
255,16/05/2019,20.81,14129600
256,17/05/2019,21.03,8448800
257,20/05/2019,21.55,8182400
258,21/05/2019,22.35,9252800
259,22/05/2019,22.46,8796800
260,23/05/2019,22.48,8212800
261,24/05/2019,22.03,6352800
262,27/05/2019,22.18,3864000
263,28/05/2019,23.55,16406400
264,29/05/2019,23.58,11266400
265,30/05/2019,24.03,7197600
266,31/05/2019,24.42,6731200
267,03/06/2019,24.26,6588800
268,04/06/2019,24.23,6428000
269,05/06/2019,23.82,10094400
270,06/06/2019,23.67,5392800
271,07/06/2019,24.72,7796000
272,10/06/2019,25.23,9352000
273,11/06/2019,25.81,8999200
274,12/06/2019,25.31,10597600
275,13/06/2019,26.11,10256000
276,14/06/2019,26.36,11812800
277,17/06/2019,25.85,10961600
278,18/06/2019,25.93,8779200
279,19/06/2019,26.16,20766400
280,21/06/2019,26.49,9861600
281,24/06/2019,26.16,6722400
282,25/06/2019,25.73,8291200
283,26/06/2019,25.97,5644800
284,27/06/2019,26.0,5900800
285,28/06/2019,26.3,8074400
286,01/07/2019,26.19,5635200
287,02/07/2019,26.47,5667200
288,03/07/2019,27.52,10816800
289,04/07/2019,27.55,9025600
290,05/07/2019,28.17,7852000
291,08/07/2019,28.58,7501600
292,10/07/2019,29.09,8860000
293,11/07/2019,28.75,8588800
294,12/07/2019,28.91,15270400
295,15/07/2019,28.74,7404000
296,16/07/2019,29.15,5528000
297,17/07/2019,30.45,20838400
298,18/07/2019,30.77,9765600
299,19/07/2019,29.66,11979200
300,22/07/2019,30.82,11854400
301,23/07/2019,30.15,8932800
302,24/07/2019,30.63,6871200
303,25/07/2019,30.46,8836000
304,26/07/2019,31.4,9316800
305,29/07/2019,32.87,11458400
306,30/07/2019,32.96,14011200
307,31/07/2019,32.86,12471200
308,01/08/2019,34.45,19667200
309,02/08/2019,35.33,11278400
310,05/08/2019,34.39,14712000
311,06/08/2019,36.48,17245600
312,07/08/2019,36.19,11467200
313,08/08/2019,37.02,9589900
314,09/08/2019,37.66,11947800
315,12/08/2019,36.3,9427200
316,13/08/2019,37.73,15958300
317,14/08/2019,36.83,13100400
318,15/08/2019,36.19,10010500
319,16/08/2019,37.44,8812100
320,19/08/2019,37.71,5694500
321,20/08/2019,36.41,10230700
322,21/08/2019,36.42,6267100
323,22/08/2019,34.32,13068800
324,23/08/2019,33.67,16515500
325,26/08/2019,33.59,9481100
326,27/08/2019,34.1,13221900
327,28/08/2019,34.79,10967500
328,29/08/2019,37.14,13868500
329,30/08/2019,36.17,10959900
330,02/09/2019,36.49,6704700
331,03/09/2019,35.76,7310000
332,04/09/2019,37.08,7775100
333,05/09/2019,36.58,6975100
334,06/09/2019,35.88,7792300
335,09/09/2019,34.09,14217900
336,10/09/2019,32.39,23810600
337,11/09/2019,34.49,16284700
338,12/09/2019,34.88,12527100
339,13/09/2019,33.99,7663400
340,16/09/2019,34.76,10564600
341,17/09/2019,34.74,10286500
342,18/09/2019,34.94,6341200
343,19/09/2019,35.69,11455300
344,20/09/2019,36.44,10609900
345,23/09/2019,35.87,6100900
346,24/09/2019,36.65,9370800
347,25/09/2019,36.6,5583000
348,26/09/2019,36.45,6887300
349,27/09/2019,36.68,4018600
350,30/09/2019,36.92,5121800
351,01/10/2019,37.33,6416800
352,02/10/2019,36.38,8794600
353,03/10/2019,37.18,5756000
354,04/10/2019,38.65,14806800
355,07/10/2019,38.27,9793400
356,08/10/2019,37.94,10590800
357,09/10/2019,39.58,8861400
358,10/10/2019,38.87,7520100
359,11/10/2019,40.43,10891300
360,14/10/2019,42.1,10942800
361,15/10/2019,41.73,9503800
362,16/10/2019,42.69,10237800
363,17/10/2019,43.1,13273900
364,18/10/2019,42.93,7066900
365,21/10/2019,43.03,6131400
366,22/10/2019,43.65,5904500
367,23/10/2019,43.42,8056100
368,24/10/2019,43.18,5919200
369,25/10/2019,41.93,8044300
370,28/10/2019,42.6,10444600
371,29/10/2019,41.08,12255200
372,30/10/2019,43.95,31866700
373,31/10/2019,44.56,23855000
374,01/11/2019,47.11,22914700
375,04/11/2019,44.89,31343400
376,05/11/2019,43.97,18187200
377,06/11/2019,45.12,11794000
378,07/11/2019,44.12,9778700
379,08/11/2019,43.74,10639700
380,11/11/2019,44.94,11163900
381,12/11/2019,43.33,16359300
382,13/11/2019,42.43,22822800
383,14/11/2019,44.17,18068100
384,18/11/2019,44.9,27655300
385,19/11/2019,44.44,14932900
386,21/11/2019,44.92,10712400
387,22/11/2019,45.41,11996000
388,25/11/2019,44.22,9077000
389,26/11/2019,42.97,17986100
390,27/11/2019,45.52,16283500
391,28/11/2019,45.52,12047500
392,29/11/2019,44.95,11377600
393,02/12/2019,44.84,9853300
394,03/12/2019,44.51,8611400
395,04/12/2019,44.0,14590900
396,05/12/2019,44.81,9759600
397,06/12/2019,45.32,7553200
398,09/12/2019,45.77,12761500
399,10/12/2019,46.52,8437900
400,11/12/2019,47.5,11267900
401,12/12/2019,47.75,9065400
402,13/12/2019,48.99,13658200
403,16/12/2019,49.22,10686500
404,17/12/2019,47.8,12119300
405,18/12/2019,48.45,10302500
406,19/12/2019,48.54,7519900
407,20/12/2019,48.51,9185700
408,23/12/2019,48.66,6502300
409,26/12/2019,49.01,4849300
410,27/12/2019,48.65,5924900
411,30/12/2019,47.62,8087600
412,02/01/2020,49.28,7400200
413,03/01/2020,48.84,6684400
414,06/01/2020,48.88,6839800
415,07/01/2020,48.74,6704700
416,08/01/2020,50.23,10001800
417,09/01/2020,52.02,11030000
418,10/01/2020,51.74,9371100
419,13/01/2020,54.17,8576800
420,14/01/2020,53.94,8295200
421,15/01/2020,53.6,9241400
422,16/01/2020,53.4,8378800
423,17/01/2020,54.29,6046000
424,20/01/2020,55.94,7405900
425,21/01/2020,55.85,8064300
426,22/01/2020,55.63,9015600
427,23/01/2020,56.52,8184900
428,24/01/2020,56.09,7518700
429,27/01/2020,53.74,7523800
430,28/01/2020,56.93,10356400
431,29/01/2020,57.23,9949500
432,30/01/2020,56.44,11075900
433,31/01/2020,55.74,9695300
434,03/02/2020,56.47,6141500
435,04/02/2020,57.6,8218200
436,05/02/2020,57.24,8621100
437,06/02/2020,55.77,10291000
438,07/02/2020,54.17,9770800
439,10/02/2020,52.32,13012900
440,11/02/2020,54.21,9488700
441,12/02/2020,55.88,10526400
442,13/02/2020,56.99,13744600
443,14/02/2020,56.27,9170000
444,17/02/2020,58.79,18443800
445,18/02/2020,58.16,9558500
446,19/02/2020,57.8,9128500
447,20/02/2020,56.48,11139500
448,21/02/2020,56.39,9585500
449,26/02/2020,52.82,13429100
450,27/02/2020,50.19,14704700
451,28/02/2020,50.46,19699800
452,02/03/2020,52.49,16152900
453,03/03/2020,52.79,14598000
454,04/03/2020,52.39,11335600
455,05/03/2020,47.74,21196500
456,06/03/2020,45.28,28342800
457,09/03/2020,40.32,24193300
458,10/03/2020,46.94,20449000
459,11/03/2020,43.03,19865900
460,12/03/2020,33.96,17382600
461,13/03/2020,41.95,30014900
462,16/03/2020,34.03,22901700
463,17/03/2020,35.53,26965600
464,18/03/2020,28.78,30321600
465,19/03/2020,30.52,28124000
466,20/03/2020,30.62,28205200
467,23/03/2020,30.18,21345500
468,24/03/2020,36.64,20589000
469,25/03/2020,39.96,31132800
470,26/03/2020,41.07,22797700
471,27/03/2020,38.96,17001100
472,30/03/2020,41.55,18840800
473,31/03/2020,38.95,24160000
474,01/04/2020,37.44,18327800
475,02/04/2020,35.85,20393700
476,03/04/2020,35.5,16400100
477,06/04/2020,38.16,16178600
478,07/04/2020,40.05,19569700
479,08/04/2020,41.91,15726400
480,09/04/2020,41.6,12903600
481,13/04/2020,41.86,8403600
482,14/04/2020,42.85,11121500
483,15/04/2020,43.8,13484900
484,16/04/2020,45.52,14483300
485,17/04/2020,44.54,12044900
486,20/04/2020,48.43,19782300
487,22/04/2020,50.49,22217600
488,23/04/2020,49.42,17454600
489,24/04/2020,47.33,26316100
490,27/04/2020,49.45,17433100
491,28/04/2020,51.74,14422400
492,29/04/2020,50.56,16629100
493,30/04/2020,49.65,11407400
494,04/05/2020,51.38,13030600
495,05/05/2020,50.14,12722600
496,06/05/2020,55.09,29665000
497,07/05/2020,56.73,23102100
498,08/05/2020,55.48,13801000
499,11/05/2020,54.89,8385600
500,12/05/2020,54.74,10155600
501,13/05/2020,55.04,12276700
502,14/05/2020,55.44,13317600
503,15/05/2020,55.07,8728100
504,18/05/2020,55.69,10305800
505,19/05/2020,58.52,14834700
506,20/05/2020,56.84,12024000
507,21/05/2020,58.23,10508200
508,22/05/2020,57.59,10946600
509,25/05/2020,60.33,10836600
510,26/05/2020,64.41,25522400
511,27/05/2020,67.29,14062100
512,28/05/2020,65.18,13549800
513,29/05/2020,64.28,16747800
514,01/06/2020,63.63,8753800
515,02/06/2020,61.73,18500000
516,03/06/2020,62.31,19531500
517,04/06/2020,60.42,12725900
518,05/06/2020,59.38,19266500
519,08/06/2020,62.31,20546600
520,09/06/2020,62.31,11402200
521,10/06/2020,64.53,19720500
522,12/06/2020,63.88,17041700
523,15/06/2020,65.78,14602800
524,16/06/2020,65.93,15534200
525,17/06/2020,67.12,19249000
526,18/06/2020,69.62,19405200
527,19/06/2020,71.32,19977100
528,22/06/2020,70.82,9261000
529,23/06/2020,70.17,7313600
530,24/06/2020,69.72,10636100
531,25/06/2020,69.61,7876500
532,26/06/2020,69.27,8181400
533,29/06/2020,70.33,8194800
534,30/06/2020,71.57,12786800
535,01/07/2020,72.22,8795100
536,02/07/2020,70.02,10680200
537,03/07/2020,71.92,7038300
538,06/07/2020,71.91,8107200
539,07/07/2020,74.64,12363700
540,08/07/2020,76.62,11615800
541,09/07/2020,79.31,11588100
542,10/07/2020,80.09,12928900
543,13/07/2020,80.41,11108400
544,14/07/2020,80.41,14112100
545,15/07/2020,81.41,12704400
546,16/07/2020,80.09,11116300
547,17/07/2020,81.91,10960900
548,20/07/2020,86.9,10783600
549,21/07/2020,84.21,15198000
550,22/07/2020,84.56,10726500
551,23/07/2020,80.31,12631800
552,24/07/2020,79.58,13518700
553,27/07/2020,79.26,10078500
554,28/07/2020,80.31,7426500
555,29/07/2020,80.12,6288300
556,30/07/2020,83.2,11296300
557,31/07/2020,80.71,11271300
558,03/08/2020,82.57,9449200
559,04/08/2020,82.5,7814900
560,05/08/2020,83.0,7522800
561,06/08/2020,85.91,10960200
562,07/08/2020,85.65,11551600
563,10/08/2020,81.93,15089600
564,11/08/2020,80.99,10574800
565,12/08/2020,80.06,10945800
566,13/08/2020,80.45,15732400
567,14/08/2020,81.76,10578500
568,17/08/2020,81.65,14449900
569,18/08/2020,89.5,31751400
570,19/08/2020,89.7,13554600
571,20/08/2020,87.35,13551900
572,21/08/2020,87.35,8174000
573,24/08/2020,87.08,7754400
574,25/08/2020,88.0,8185300
575,26/08/2020,90.15,17223600
576,27/08/2020,91.98,12657600
577,28/08/2020,94.58,9764400
578,31/08/2020,93.22,11117900
579,01/09/2020,95.33,8750500
580,02/09/2020,93.51,10098000
581,03/09/2020,88.5,21078800
582,04/09/2020,88.77,22414500
583,08/09/2020,87.69,11217500
584,09/09/2020,91.2,11371900
585,10/09/2020,88.25,16326800
586,11/09/2020,87.57,11928200
587,14/09/2020,90.3,12360200
588,15/09/2020,89.58,11321100
589,16/09/2020,89.17,9181600
590,17/09/2020,87.1,12262800
591,18/09/2020,87.16,14953700
592,21/09/2020,88.7,15170600
593,22/09/2020,89.49,13110000
594,23/09/2020,86.48,10695000
595,24/09/2020,89.3,12058000
596,25/09/2020,90.63,10697600
597,28/09/2020,87.47,15632600
598,29/09/2020,87.48,9514100
599,30/09/2020,89.2,11651200
