data;close;volume
02/05/2018;12.71;11412800
03/05/2018;12.05;23920800
04/05/2018;12.11;15284000
07/05/2018;12.0;9711200
08/05/2018;13.76;40232800
09/05/2018;13.96;20416800
10/05/2018;13.57;15272800
11/05/2018;13.47;11504000
14/05/2018;13.41;11840800
15/05/2018;13.2;13277600
16/05/2018;13.91;16859200
17/05/2018;13.55;13338400
18/05/2018;13.03;26184000
21/05/2018;13.58;12142400
22/05/2018;14.13;15096000
23/05/2018;13.87;11255200
24/05/2018;14.01;12412800
25/05/2018;13.88;13388000
28/05/2018;13.02;19270400
29/05/2018;12.95;20374400
30/05/2018;13.44;90257600
01/06/2018;14.31;22248000
04/06/2018;15.41;27456000
05/06/2018;15.0;17707200
06/06/2018;14.17;18704000
07/06/2018;13.19;41078400
08/06/2018;13.08;28228800
11/06/2018;13.17;14646400
12/06/2018;13.63;19887200
13/06/2018;13.93;17304000
14/06/2018;14.8;27508800
15/06/2018;14.85;18602400
18/06/2018;14.6;9577600
19/06/2018;15.33;18573600
20/06/2018;15.08;18780800
21/06/2018;15.07;12972000
22/06/2018;15.22;8402400
25/06/2018;15.22;18207200
26/06/2018;15.34;12660000
27/06/2018;15.06;8017600
28/06/2018;15.31;10052000
29/06/2018;15.86;13955200
02/07/2018;15.55;8031200
03/07/2018;15.44;16740800
04/07/2018;15.41;4457600
05/07/2018;14.87;11042400
06/07/2018;15.09;13672800
10/07/2018;14.63;15685600
11/07/2018;14.19;10308000
12/07/2018;15.29;16994400
13/07/2018;15.57;13586400
16/07/2018;15.83;9374400
17/07/2018;16.36;12797600
18/07/2018;15.74;15473600
19/07/2018;15.99;13206400
20/07/2018;16.23;10146400
23/07/2018;16.09;4896000
24/07/2018;16.58;8722400
25/07/2018;16.49;8520000
26/07/2018;16.31;8268800
27/07/2018;16.09;9029600
30/07/2018;16.11;6480800
31/07/2018;16.39;5794400
01/08/2018;16.64;7636800
02/08/2018;16.96;7988000
03/08/2018;16.98;10752000
06/08/2018;17.11;10468800
07/08/2018;18.08;28713600
08/08/2018;17.36;14649600
09/08/2018;18.22;12846400
10/08/2018;17.23;15485600
13/08/2018;17.48;8388000
14/08/2018;17.58;5580000
15/08/2018;17.19;9864000
16/08/2018;16.89;11280000
17/08/2018;16.57;11162400
20/08/2018;17.15;7575200
21/08/2018;16.42;19540800
22/08/2018;16.64;8756000
23/08/2018;16.46;12881600
24/08/2018;16.36;7976800
27/08/2018;16.29;8990400
28/08/2018;16.03;15898400
29/08/2018;16.38;11543200
30/08/2018;15.82;9766400
31/08/2018;16.14;10414400
03/09/2018;15.68;6607200
04/09/2018;14.63;16774400
05/09/2018;15.1;13344000
06/09/2018;15.52;9080000
10/09/2018;15.11;15501600
11/09/2018;14.76;7964000
12/09/2018;14.8;9307200
13/09/2018;14.31;12500000
14/09/2018;14.38;10198400
17/09/2018;14.74;7171200
18/09/2018;15.42;12291200
19/09/2018;14.75;12988000
20/09/2018;14.69;9408800
21/09/2018;15.37;15050400
24/09/2018;15.05;8989600
25/09/2018;15.26;7876800
26/09/2018;15.14;9953600
27/09/2018;15.39;8992000
28/09/2018;15.18;8628000
01/10/2018;15.2;5328000
02/10/2018;16.16;13812800
03/10/2018;17.27;24038400
04/10/2018;17.29;15325600
05/10/2018;17.6;16601600
08/10/2018;18.41;13604800
09/10/2018;18.62;11968800
10/10/2018;17.81;13148000
11/10/2018;18.68;16512000
15/10/2018;18.59;10504800
16/10/2018;19.73;16933600
17/10/2018;20.05;14594400
18/10/2018;19.94;10462400
19/10/2018;20.95;15357600
22/10/2018;20.71;11444000
23/10/2018;20.96;11226400
24/10/2018;20.82;8834400
25/10/2018;20.85;12103200
26/10/2018;20.68;12222400
29/10/2018;20.63;10116800
30/10/2018;20.98;13444000
31/10/2018;20.92;8749600
01/11/2018;21.06;8716000
05/11/2018;21.44;10884800
06/11/2018;19.65;27033600
07/11/2018;18.7;38664000
08/11/2018;18.29;14698400
09/11/2018;18.15;17099200
12/11/2018;19.03;13290400
13/11/2018;19.02;13641600
14/11/2018;19.27;11627200
16/11/2018;19.4;10806400
19/11/2018;19.36;5355200
21/11/2018;19.24;7469600
22/11/2018;19.83;9015200
23/11/2018;20.12;9522400
26/11/2018;19.61;10952000
27/11/2018;20.92;11514400
28/11/2018;21.08;15602400
29/11/2018;21.23;13967200
30/11/2018;20.41;14056800
03/12/2018;20.1;8754400
04/12/2018;20.43;13332800
05/12/2018;20.44;3793600
06/12/2018;20.49;5664800
07/12/2018;20.37;6389600
10/12/2018;19.9;5503200
11/12/2018;20.38;5144000
12/12/2018;20.82;6977600
13/12/2018;20.76;4767200
14/12/2018;21.15;8799200
17/12/2018;21.08;6956000
18/12/2018;21.8;7892800
19/12/2018;21.94;8070400
20/12/2018;22.06;8156800
21/12/2018;22.65;9687200
26/12/2018;21.91;6412000
27/12/2018;21.57;5149600
28/12/2018;22.44;6636000
02/01/2019;23.12;6754400
03/01/2019;22.87;6585600
04/01/2019;22.18;6930400
07/01/2019;22.52;5293600
08/01/2019;22.34;4849600
09/01/2019;22.26;6199200
10/01/2019;22.48;6108000
11/01/2019;22.08;9370400
14/01/2019;22.25;8532000
15/01/2019;22.0;8225600
16/01/2019;21.75;8863200
17/01/2019;21.69;7181600
18/01/2019;21.65;5624000
21/01/2019;20.76;10003200
22/01/2019;20.14;16261600
23/01/2019;21.08;9562400
24/01/2019;20.82;9061600
28/01/2019;20.81;6263200
29/01/2019;22.14;12793600
30/01/2019;21.9;10992800
31/01/2019;22.26;7646400
01/02/2019;22.23;5166400
04/02/2019;22.01;4340800
05/02/2019;21.81;3613600
06/02/2019;21.09;6461600
07/02/2019;20.73;9416000
08/02/2019;21.13;5506400
11/02/2019;20.55;5274400
12/02/2019;20.48;8099200
13/02/2019;20.05;9616000
14/02/2019;21.22;8319200
15/02/2019;20.38;7860000
18/02/2019;20.95;3745600
19/02/2019;21.09;7568000
20/02/2019;20.2;12089600
21/02/2019;20.03;10159200
22/02/2019;22.11;30509600
25/02/2019;21.59;10340000
26/02/2019;22.19;8444800
27/02/2019;21.88;6376000
28/02/2019;21.56;8011200
01/03/2019;21.78;7103200
06/03/2019;21.33;3880800
07/03/2019;22.02;9920800
08/03/2019;22.48;13552000
11/03/2019;22.69;9706400
12/03/2019;22.23;5614400
13/03/2019;22.04;5698400
14/03/2019;21.94;3347200
15/03/2019;22.03;6331200
18/03/2019;22.43;10771200
19/03/2019;22.46;5387200
20/03/2019;22.58;5757600
21/03/2019;22.65;7817600
22/03/2019;21.54;10982400
25/03/2019;21.52;8220000
26/03/2019;21.95;6088000
27/03/2019;20.88;12635200
28/03/2019;21.23;11179200
29/03/2019;21.49;5718400
01/04/2019;21.29;4003200
02/04/2019;20.65;8864000
03/04/2019;21.02;10100000
04/04/2019;21.01;5660000
05/04/2019;21.13;5885600
08/04/2019;20.73;19244800
09/04/2019;20.67;8444000
10/04/2019;20.97;5064000
11/04/2019;20.63;5146400
12/04/2019;20.49;6610400
15/04/2019;20.32;10367200
16/04/2019;20.27;5866400
17/04/2019;19.91;9738400
18/04/2019;21.28;10932000
22/04/2019;20.83;3457600
23/04/2019;21.3;4150400
24/04/2019;21.49;6446400
25/04/2019;21.8;6127200
26/04/2019;22.3;9200800
29/04/2019;22.24;4088000
30/04/2019;23.83;17032000
02/05/2019;23.76;10768000
03/05/2019;24.45;9572000
06/05/2019;24.94;12184000
07/05/2019;23.94;13639200
08/05/2019;24.11;7251200
09/05/2019;23.16;8584800
10/05/2019;23.24;7019200
13/05/2019;22.43;7417600
14/05/2019;22.21;8059200
15/05/2019;21.55;11854400
16/05/2019;20.81;14129600
17/05/2019;21.03;8448800
20/05/2019;21.55;8182400
21/05/2019;22.35;9252800
22/05/2019;22.46;8796800
23/05/2019;22.48;8212800
24/05/2019;22.03;6352800
27/05/2019;22.18;3864000
28/05/2019;23.55;16406400
29/05/2019;23.58;11266400
30/05/2019;24.03;7197600
31/05/2019;24.42;6731200
03/06/2019;24.26;6588800
04/06/2019;24.23;6428000
05/06/2019;23.82;10094400
06/06/2019;23.67;5392800
07/06/2019;24.72;7796000
10/06/2019;25.23;9352000
11/06/2019;25.81;8999200
12/06/2019;25.31;10597600
13/06/2019;26.11;10256000
14/06/2019;26.36;11812800
17/06/2019;25.85;10961600
18/06/2019;25.93;8779200
19/06/2019;26.16;20766400
21/06/2019;26.49;9861600
24/06/2019;26.16;6722400
25/06/2019;25.73;8291200
26/06/2019;25.97;5644800
27/06/2019;26.0;5900800
28/06/2019;26.3;8074400
01/07/2019;26.19;5635200
02/07/2019;26.47;5667200
03/07/2019;27.52;10816800
04/07/2019;27.55;9025600
05/07/2019;28.17;7852000
08/07/2019;28.58;7501600
10/07/2019;29.09;8860000
11/07/2019;28.75;8588800
12/07/2019;28.91;15270400
15/07/2019;28.74;7404000
16/07/2019;29.15;5528000
17/07/2019;30.45;20838400
18/07/2019;30.77;9765600
19/07/2019;29.66;11979200
22/07/2019;30.82;11854400
23/07/2019;30.15;8932800
24/07/2019;30.63;6871200
25/07/2019;30.46;8836000
26/07/2019;31.4;9316800
29/07/2019;32.87;11458400
30/07/2019;32.96;14011200
31/07/2019;32.86;12471200
01/08/2019;34.45;19667200
02/08/2019;35.33;11278400
05/08/2019;34.39;14712000
06/08/2019;36.48;17245600
07/08/2019;36.19;11467200
08/08/2019;37.02;9589900
09/08/2019;37.66;11947800
12/08/2019;36.3;9427200
13/08/2019;37.73;15958300
14/08/2019;36.83;13100400
15/08/2019;36.19;10010500
16/08/2019;37.44;8812100
19/08/2019;37.71;5694500
20/08/2019;36.41;10230700
21/08/2019;36.42;6267100
22/08/2019;34.32;13068800
23/08/2019;33.67;16515500
26/08/2019;33.59;9481100
27/08/2019;34.1;13221900
28/08/2019;34.79;10967500
